ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Q0,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_9_TEXT,Q2,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q5_1,Q5_2,Q5_3,Q5_4,Q6,Q7_5,Q8,Q9,Q10,Q10_TEXT,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_9,Q11_10,Q11_8,Q12,Q13,Q14,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_10,Q15_10_TEXT,Q16,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Questions below relate either to the printed issues of Grand Valley Magazine (GVM) or the GVM web...,Where do you acquire most of your information about GVSU? Mark all that apply.-Grand Valley Magazine print issues,Where do you acquire most of your information about GVSU? Mark all that apply.-Emails from GVSU,Where do you acquire most of your information about GVSU? Mark all that apply.-Grand Valley Magazine Website (gvsu.edu/gvm),Where do you acquire most of your information about GVSU? Mark all that apply.-Other GVSU Publications,Where do you acquire most of your information about GVSU? Mark all that apply.-Local or National Media,Where do you acquire most of your information about GVSU? Mark all that apply.-Word of Mouth/Other Alumni,Where do you acquire most of your information about GVSU? Mark all that apply.-Social Media,Where do you acquire most of your information about GVSU? Mark all that apply.-The Lanthorn,Where do you acquire most of your information about GVSU? Mark all that apply.-Other,Where do you acquire most of your information about GVSU? Mark all that apply.-Other,How do you read Grand Valley Magazine?,How many PRINT issues have you read within the past year?,To what extent do you agree or disagree with these statements about the Grand Valley Magazine WEB...-I enjoy reading the GVM website.,To what extent do you agree or disagree with these statements about the Grand Valley Magazine WEB...-The website is easy to navigate.,To what extent do you agree or disagree with these statements about the Grand Valley Magazine WEB...-The design and visual elements aid in my understanding and enjoyment of the text.,To what extent do you agree or disagree with these statements about the Grand Valley Magazine WEB...-I feel more connected to Grand Valley State University after reading the GVM website.,To what extent do you agree or disagree with these statements about the Grand Valley Magazine WEB...-Reading the GVM website makes me proud to be part of the GVSU community.,To what extent do you agree or disagree with these statements about PRINTED issues of Grand Valle...-I enjoy reading the printed publication.,To what extent do you agree or disagree with these statements about PRINTED issues of Grand Valle...-The design and visual elements aid in my understanding and enjoyment of the text.,To what extent do you agree or disagree with these statements about PRINTED issues of Grand Valle...-I feel more connected to Grand Valley State University after the print issues.,To what extent do you agree or disagree with these statements about PRINTED issues of Grand Valle...-Reading print issues of Grand Valley Magazine makes me proud to be part of the GVSU community.,"After reading Grand Valley Magazine, I am more likely to engage in events/activities associated w...",How many articles have you read on the Grand Valley Magazine WEBSITE in the last year?-Articles Read,What is most likely to drive you to visit the Grand Valley Magazine WEBSITE?,Would you read Grand Valley Magazine if it was offered as a WEBSITE version only?,How can we make the Grand Valley Magazine WEBSITE more engaging?,How can we make the Grand Valley Magazine WEBSITE more engaging?,What actions have you taken as a result of reading Grand Valley Magazine? Mark all that apply.-Saved article/issue,What actions have you taken as a result of reading Grand Valley Magazine? Mark all that apply.-Discussed article/issue,What actions have you taken as a result of reading Grand Valley Magazine? Mark all that apply.-Recommended GVSU to prospective students,What actions have you taken as a result of reading Grand Valley Magazine? Mark all that apply.-Attended an event,What actions have you taken as a result of reading Grand Valley Magazine? Mark all that apply.-Made donation,What actions have you taken as a result of reading Grand Valley Magazine? Mark all that apply.-Visited website,What actions have you taken as a result of reading Grand Valley Magazine? Mark all that apply.-Contacted classmate,What actions have you taken as a result of reading Grand Valley Magazine? Mark all that apply.-Shared article on social media,What actions have you taken as a result of reading Grand Valley Magazine? Mark all that apply.-Shared with others via email,What actions have you taken as a result of reading Grand Valley Magazine? Mark all that apply.-No action taken,Would you like to opt in to continue to receive PRINTED issues of the Grand Valley Magazine?,Do you have any other comments?,What is your age?,What describes your relation to Grand Valley State University? Mark all that apply.-Alumni,What describes your relation to Grand Valley State University? Mark all that apply.-Undergraduate student,What describes your relation to Grand Valley State University? Mark all that apply.-Graduate student,What describes your relation to Grand Valley State University? Mark all that apply.-Family member of student,What describes your relation to Grand Valley State University? Mark all that apply.-Faculty or staff member,What describes your relation to Grand Valley State University? Mark all that apply.-Family member of faculty/staff,What describes your relation to Grand Valley State University? Mark all that apply.-Donor,What describes your relation to Grand Valley State University? Mark all that apply.-Other:,What describes your relation to Grand Valley State University? Mark all that apply.-Other:,"You responded Yes, to continue receiving printed issues of Grand Valley Magazine. Please follow t...",LocationLatitude,LocationLongitude,LocationAccuracy
{'ImportId': 'responseId'},{'ImportId': 'responseSetId'},{'ImportId': 'ipAddress'},{'ImportId': 'startDate'},{'ImportId': 'endDate'},{'ImportId': 'panel-RecipientLastName'},{'ImportId': 'panel-RecipientFirstName'},{'ImportId': 'panel-RecipientEmail'},{'ImportId': 'panel-ExternalDataReference'},{'ImportId': 'finished'},{'ImportId': 'status'},{'ImportId': 'QID32'},{'ImportId': 'QID1-1'},{'ImportId': 'QID1-2'},{'ImportId': 'QID1-3'},{'ImportId': 'QID1-4'},{'ImportId': 'QID1-5'},{'ImportId': 'QID1-6'},{'ImportId': 'QID1-7'},{'ImportId': 'QID1-8'},{'ImportId': 'QID1-9'},{'ImportId': 'QID1-9-TEXT'},{'ImportId': 'QID3'},{'ImportId': 'QID31'},{'ImportId': 'QID5-1'},{'ImportId': 'QID5-2'},{'ImportId': 'QID5-3'},{'ImportId': 'QID5-4'},{'ImportId': 'QID5-5'},{'ImportId': 'QID6-1'},{'ImportId': 'QID6-2'},{'ImportId': 'QID6-3'},{'ImportId': 'QID6-4'},{'ImportId': 'QID7'},{'ImportId': 'QID29-5'},{'ImportId': 'QID11'},{'ImportId': 'QID12'},{'ImportId': 'QID20'},{'ImportId': 'QID20-TEXT'},{'ImportId': 'QID22-1'},{'ImportId': 'QID22-2'},{'ImportId': 'QID22-3'},{'ImportId': 'QID22-4'},{'ImportId': 'QID22-5'},{'ImportId': 'QID22-6'},{'ImportId': 'QID22-7'},{'ImportId': 'QID22-9'},{'ImportId': 'QID22-10'},{'ImportId': 'QID22-8'},{'ImportId': 'QID24'},{'ImportId': 'QID28-TEXT'},{'ImportId': 'QID15'},{'ImportId': 'QID13-1'},{'ImportId': 'QID13-2'},{'ImportId': 'QID13-3'},{'ImportId': 'QID13-4'},{'ImportId': 'QID13-5'},{'ImportId': 'QID13-6'},{'ImportId': 'QID13-7'},{'ImportId': 'QID13-10'},{'ImportId': 'QID13-10-TEXT'},{'ImportId': 'QID26'},{'ImportId': 'Location-LocationLatitude'},{'ImportId': 'Location-LocationLongitude'},{'ImportId': 'Location-LocationAccuracy'}
R_28IeDQSeudQUBtZ,Default Response Set,,2023-10-23 07:36:52,2023-10-23 07:39:07,,,,,1,0,1,,,,,,,,,1,I work at GVSU,4,1,3,3,3,3,3,1,1,1,1,2,3,2,3,4,,,1,,,,,,,1,,2,,3,,,,,1,,,,,,,,-1
R_PTche4wVwm7WBax,Default Response Set,,2023-10-23 07:42:01,2023-10-23 07:44:23,,,,,1,0,1,,1,,,,,,,,,4,1,1,3,3,3,3,3,3,3,3,2,1,2,2,2,,1,,,,,,,,,,1,,3,1,,,,,,,,,1,,,-1
R_2c5baYgeg6bDvyi,Default Response Set,,2023-10-23 07:41:04,2023-10-23 07:47:41,,,,,1,0,1,1,1,1,1,,,,,,,3,6,5,5,5,5,5,4,5,5,5,2,NOT_APPLICABLE,3,1,7,More focus on student and faculty accomplishments,,1,1,,,,,,,,2,Printed issues are expensive to produce and mail.  Save money by using electronic versions,5,,,,1,1,,1,1,Retiree,,,,-1
R_2PB8wkaxYPK8v3g,Default Response Set,,2023-10-23 07:51:29,2023-10-23 07:53:06,,,,,1,0,1,,1,,,,,,,,,1,1,3,3,3,4,3,3,3,3,3,2,3,2,1,5,,,,,1,,,,1,,,2,,1,,1,,,,,,,,,,,-1
R_2y1rRePxi1e7yI3,Default Response Set,,2023-10-23 08:00:25,2023-10-23 08:02:36,,,,,1,0,1,,1,1,1,1,1,1,,,,1,1,3,3,3,3,3,1,1,1,1,2,8,2,1,1,,,,,,,,,,,1,1,,3,1,,,,,,,,,1,,,-1
R_2VQsI2AfiAe58dc,Default Response Set,,2023-10-23 08:02:56,2023-10-23 08:04:25,,,,,1,0,1,,1,,,,,1,,,,1,1,5,5,5,4,3,2,4,4,4,3,NOT_APPLICABLE,2,1,3,,,,,1,,,,1,,,2,,2,,,,,1,,,,,,,,-1
R_0VbhphZBSmaHL9f,Default Response Set,,2023-10-23 07:47:49,2023-10-23 08:04:55,,,,,1,0,1,1,1,1,1,,,1,1,,,3,2,5,5,5,3,5,5,5,3,5,2,NOT_APPLICABLE,2,1,3,,,1,,,,1,,,1,,1,,4,1,,,1,1,,,,,1,,,-1
R_C9tKa3tn5uVjEop,Default Response Set,,2023-10-23 08:02:45,2023-10-23 08:05:10,,,,,1,0,1,,1,,,,,1,,,,1,1,5,5,5,4,5,1,3,3,3,3,5,3,1,3,,,,1,,,1,,1,,,2,,3,,,,1,,,,,,,,,-1
R_739PaYs58INT24F,Default Response Set,,2023-10-23 08:06:20,2023-10-23 08:07:53,,,,,1,0,1,,1,,,,1,,1,,,1,1,3,4,4,4,3,3,3,3,3,2,NOT_APPLICABLE,2,1,4,,,1,,,,,,,,,2,,3,,,,,1,,,,,,,,-1
R_2CNDLewUkrxv9mw,Default Response Set,,2023-10-23 08:06:05,2023-10-23 08:08:47,,,,,1,0,1,,1,,,,,,,,,3,2,3,5,3,5,5,5,3,5,5,2,5,2,1,4,,,,,1,,1,,,,,2,,5,,,,,,,,1,Retired educator,,,,-1
R_3GBY4gBswlKWWDz,Default Response Set,,2023-10-23 08:07:28,2023-10-23 08:09:07,,,,,1,0,1,,1,,,,,1,,,,1,7,4,3,3,4,3,4,4,3,4,2,4,2,1,4,,,,,,,,,,,1,2,,4,1,,,,,,,,,,,,-1
R_2y2bd9gh06xDuNE,Default Response Set,,2023-10-23 08:11:05,2023-10-23 08:15:05,,,,,1,0,1,1,1,,,,1,1,,,,1,7,4,5,5,5,5,4,4,5,5,3,6,2,2,1,,,,,1,,,,,,,2,,2,,,1,,,,,,,,,,-1
R_30hRBXnHwX0Osgl,Default Response Set,,2023-10-23 08:27:00,2023-10-23 08:29:27,,,,,1,0,1,1,,,,,,,,,,1,6,5,5,3,4,5,3,3,3,3,2,7,2,1,4,,,,,,,1,,,,,1,,5,1,,,,,,,,,1,,,-1
R_1gdABt1EDdx0bW9,Default Response Set,,2023-10-23 08:36:58,2023-10-23 08:38:47,,,,,1,0,1,1,1,,,,,1,1,,,3,7,1,1,1,1,1,1,1,1,1,3,4,1,1,3,,,,,,,,,,,1,1,,3,1,,,,1,,,,,1,,,-1
R_1K6LlAcO0mq51CC,Default Response Set,,2023-10-23 08:39:55,2023-10-23 08:43:15,,,,,1,0,1,1,,1,,,,,,,,1,2,4,3,4,4,3,3,3,3,3,2,8,4,1,4,,,1,,,,,1,,,,1,,4,,,,1,,,,,,1,,,-1
R_3nAAXk9UpR9fq3r,Default Response Set,,2023-10-23 08:44:42,2023-10-23 08:48:02,,,,,1,0,1,1,1,1,,,1,1,,,,3,6,5,4,5,5,5,5,5,5,5,3,NOT_APPLICABLE,2,1,1,,,1,1,1,,,,,,,1,,2,1,,,,1,,,,,1,,,-1
