ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Q0,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_9_TEXT,Q2,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q5_1,Q5_2,Q5_3,Q5_4,Q6,Q7_5,Q8,Q9,Q10,Q10_TEXT,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_9,Q11_10,Q11_8,Q12,Q13,Q14,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_10,Q15_10_TEXT,Q16,LocationLatitude,LocationLongitude,LocationAccuracy
R_2Sq7SnOitvFPhPV,Default Response Set,,2023-10-23 08:54:27,2023-10-23 08:56:57,,,,,1,0,1,,1,,1,,,1,,,,3,6,4,5,3,3,3,5,5,4,3,2,4,2,1,4,,1,1,,,,1,,,,,1,,3,1,,,1,1,,,,,1,,,-1
R_11jcdnqhd8N1rlU,Default Response Set,,2023-10-23 08:54:54,2023-10-23 08:57:01,,,,,1,0,1,,1,,,,,,,,,1,1,3,4,4,4,4,3,4,4,4,2,5,2,1,1,,,1,,,,,,,,,2,,4,,,,1,,,,,,,,,-1
R_2c5ErN3bkZuQJiE,Default Response Set,,2023-10-23 09:12:17,2023-10-23 09:15:34,,,,,1,0,1,,,,,,,,,1,I don't need information about GVSU,4,1,1,1,1,1,1,1,1,1,1,1,0,1,2,5,,,,,,,,,,,1,2,,4,1,,,,,,,,,,,,-1
R_wTwim4eIePsILhD,Default Response Set,,2023-10-23 09:11:25,2023-10-23 09:17:16,,,,,1,0,1,,1,,,,,,,,,3,6,3,5,5,5,5,3,5,5,5,3,NOT_APPLICABLE,2,1,4,,,,,1,,,,,,,2,,3,1,,,,,,,,,,,,-1
R_A1mmO9C7AO69NTj,Default Response Set,,2023-10-23 09:14:34,2023-10-23 09:17:32,,,,,1,0,1,1,,,,,,,,,,3,6,4,4,4,4,4,4,4,4,4,2,1,2,1,4,,,,,,,1,,,,,2,,3,1,,,,,,1,,,,,,-1
R_3kHVoGLpotwA9js,Default Response Set,,2023-10-23 09:22:56,2023-10-23 09:24:45,,,,,1,0,1,,,,,,,,,1,GVSU website,1,1,5,5,5,4,4,3,3,3,3,3,NOT_APPLICABLE,2,1,2,,,,,,1,,,1,,,2,,3,,,,,1,,,,,,,,-1
R_2zxdXfuX8exyj9u,Default Response Set,,2023-10-23 09:27:37,2023-10-23 09:32:11,,,,,1,0,1,,1,,,,,,,,,1,1,4,5,4,4,5,3,4,4,4,2,NOT_APPLICABLE,2,3,4,,,,,,,,,,,1,2,No,5,,,,,,,1,,,,,,-1
R_ABE7IMdGCqrGcb7,Default Response Set,,2023-10-23 09:26:16,2023-10-23 09:33:47,,,,,1,0,1,1,1,,,,,,1,,,3,6,3,3,3,3,3,5,5,5,5,3,2,2,3,5,,,1,1,,1,,,,,,1,,4,,,,1,,1,1,,,1,,,-1
R_2EhmfXB0TNwNgT1,Default Response Set,,2023-10-23 09:41:14,2023-10-23 09:43:34,,,,,1,0,1,,1,,,,,,,,,4,7,4,3,3,2,3,4,3,3,3,3,2,2,1,4,,,,,1,,1,,,,,2,,3,1,,,,,,,,,,,,-1
R_2ATGT4okYt7dvTP,Default Response Set,,2023-10-23 09:44:32,2023-10-23 09:47:09,,,,,1,0,1,1,,,,,,,,,,3,6,3,2,4,4,3,4,4,4,4,1,4,3,2,4,,,,,,,,,,,1,2,,3,1,,,,,,,,,,,,-1
R_2fpq2XutOQwE4y6,Default Response Set,,2023-10-23 09:47:25,2023-10-23 09:50:46,,,,,1,0,1,1,1,,,,,1,,,,2,2,1,3,3,3,1,5,4,4,5,2,0,2,2,5,,1,,,1,,,,,,,1,,5,1,,,,,,,,,1,,,-1
R_2y9hn8C7rBJFX2r,Default Response Set,,2023-10-23 09:55:58,2023-10-23 09:57:44,,,,,1,0,1,,1,,,,,,,,,4,1,3,3,3,3,3,3,3,3,3,2,1,2,1,5,,,,,,,,,,,1,1,,4,,,,,1,,,,,1,,,-1
R_D9aogZsfQ8Yb2aB,Default Response Set,,2023-10-23 10:08:17,2023-10-23 10:10:14,,,,,1,0,1,,1,,,1,1,1,,,,2,2,3,3,3,3,3,4,4,3,3,1,0,2,2,5,,,,,,,,,,,1,1,,1,,1,,,,,,,,1,,,-1
R_1eJoj70gsmUKRAG,Default Response Set,,2023-10-23 10:10:14,2023-10-23 10:14:17,,,,,1,0,1,,,1,,,,,,,,1,1,3,4,3,3,4,1,5,4,3,1,NOT_APPLICABLE,2,1,3,,,,,,,,,,,1,2,,5,1,,,,,,,,,,,,-1
R_263lTehwSxDfVG1,Default Response Set,,2023-10-23 10:37:51,2023-10-23 10:39:57,,,,,1,0,1,1,,,,,1,1,,,,2,2,3,3,3,4,4,4,4,4,4,2,3,3,2,4,,,,,,,1,,1,,,1,,3,1,,,,,,,,,1,,,-1
R_30829EHvZAwcIeX,Default Response Set,,2023-10-23 10:45:11,2023-10-23 10:53:47,,,,,1,0,1,1,1,,,1,,1,,,,2,2,2,3,3,3,3,5,5,5,5,3,0,4,2,5,,1,1,,,,,,1,,,1,"I like receiving the magazine in the mail! It's more exciting to receive and read than just another email or link. Everything is digital now, so it's nice to have a real object in front of me to look through. I also share the magazine with my parents for them to read.",2,1,,,,,,,,,1,,,-1
R_eeLTywcAad1yAcF,Default Response Set,,2023-10-23 10:57:23,2023-10-23 10:59:29,,,,,1,0,1,,1,,,,,,,,,4,1,2,3,2,2,2,2,2,2,2,1,3,2,3,4,,,,,,,,,,,1,2,,4,,,,,1,,,,,,,,-1
R_3M6vV5HIm4Kin53,Default Response Set,,2023-10-23 10:59:26,2023-10-23 11:03:13,,,,,1,0,1,1,1,1,,,,,,,,3,6,5,5,4,4,5,4,4,4,5,2,6,4,1,4,,,,,,,1,,,,,2,,5,1,1,,,,,,1,Past Donor,,,,-1
R_28UMgk0yIRnNW7A,Default Response Set,,2023-10-23 12:35:27,2023-10-23 12:38:21,,,,,1,0,1,,,1,,,,1,,,,1,1,4,4,4,4,4,3,3,3,3,1,3,4,1,3,,,,,,,1,,,,,2,,3,1,,,,,,,,,,,,-1
R_3s5mItnd32YteUj,Default Response Set,,2023-10-23 12:40:00,2023-10-23 12:43:47,,,,,1,0,1,,,,,,,,,1,This is the first I knew that there was such a publication,4,1,2,3,3,3,3,2,3,3,3,1,0,1,2,7,change the behavior of your students,,,,,,,,,,1,2,"I have been told by many locals that GVSU students spent the entire GVSU/FSU game chanting ""FU, Ferris."" Why would I want to be associated with your university?",5,,,,,,,1,,,,,,-1
R_125oUVaFaZZttgM,Default Response Set,,2023-10-23 12:42:15,2023-10-23 12:46:04,,,,,1,0,1,,1,1,,,,1,,,,2,2,4,4,4,4,5,4,4,5,4,2,5,4,3,3,,,1,,,,1,,,,,2,No,4,1,,,,,,,,,,,,-1
R_3hitihIRmVV9HpI,Default Response Set,,2023-10-23 13:15:25,2023-10-23 13:18:50,,,,,1,0,1,,1,1,1,,,,1,,,3,6,5,5,5,5,5,5,5,5,5,3,NOT_APPLICABLE,4,1,3,,1,1,1,1,1,1,,,1,,2,,3,,,,,1,,,,,,,,-1
R_22Yczddk65oWUvZ,Default Response Set,,2023-10-23 13:49:34,2023-10-23 13:52:21,,,,,1,0,1,,1,,,,1,1,,,,1,7,4,4,4,4,5,3,3,3,3,3,8,2,1,4,,,1,1,1,,1,,,,,2,,4,1,,,1,1,,,,,,,,-1
R_28IIchRbd7VKhjM,Default Response Set,,2023-10-23 13:56:56,2023-10-23 14:02:13,,,,,1,0,1,,1,,,,,,,,,1,1,5,5,5,5,5,3,3,3,3,2,NOT_APPLICABLE,2,1,3,,,,,,1,,,,,,2,"I really enjoyed this months article ""Water in the West"".  Living in Las Vegas is so different than Michigan.  It's great the group of students got to experience what we live with daily.",5,1,,,,,,1,,,,,,-1
R_1CdALuwmkz6O8c1,Default Response Set,,2023-10-23 14:01:50,2023-10-23 14:05:23,,,,,1,0,1,,,,,,1,1,,,,4,7,3,3,3,4,3,3,4,4,3,3,1,3,3,1,,,,,1,,1,,,,,2,No,2,1,,,,,,,,,,,,-1
R_0B4PFSYVMIkNpL3,Default Response Set,,2023-10-23 14:18:02,2023-10-23 14:19:47,,,,,1,0,1,,,,1,,,,,,,4,1,1,1,1,1,1,1,1,1,1,1,NOT_APPLICABLE,4,2,5,,,,,,,,,,,1,1,,4,1,,,,,,,,,1,,,-1
R_3nqkg9oD5ebcaQD,Default Response Set,,2023-10-23 14:19:42,2023-10-23 14:22:57,,,,,1,0,1,,1,,,,,,,,,1,1,3,3,3,4,3,3,3,3,3,2,2,2,3,4,,,,,,,,,,,1,2,"I only receive the GVM through email because I have a current student at GVSU.  I don't tend to read the articles unless something particularly interesting to me is in the headlines, or it is something that applies to current students.",4,,,,1,,,,,,,,,-1
R_2OPSO7n3P4LvpRR,Default Response Set,,2023-10-23 14:23:47,2023-10-23 14:26:48,,,,,1,0,1,,1,,,,,1,,,,3,2,4,5,5,5,5,5,5,5,5,2,5,2,3,3,,,,,,,1,,,,,2,,3,1,,,1,,,,,,,,,-1
R_2UVL0VAZi08VdBY,Default Response Set,,2023-10-23 14:57:42,2023-10-23 14:59:21,,,,,1,0,1,,1,,,,,,1,,,1,7,4,4,4,4,4,3,3,3,3,2,2,2,1,1,,1,,,,,,,,,,2,,2,1,,,,,,,,,,,,-1
R_1reSFSLaTc3BDnk,Default Response Set,,2023-10-23 15:29:54,2023-10-23 15:33:11,,,,,1,0,1,1,,,,,,,,,,3,6,3,3,3,4,4,5,5,5,5,2,3,2,1,1,,,,,,,,,,,1,2,,5,,,,,1,,,1,Retired,,,,-1
R_Zahrl8fH47nCUrT,Default Response Set,,2023-10-23 16:05:07,2023-10-23 16:08:50,,,,,1,0,1,1,,,,,,,,,,2,2,3,3,4,3,4,2,4,3,2,1,1,3,1,5,,,1,,,,,,,,,2,,3,1,,,,,,,,,,,,-1
R_UN1kPdhIoi1kcJX,Default Response Set,,2023-10-23 17:13:15,2023-10-23 17:17:07,,,,,1,0,1,1,,,1,1,,,,,,3,6,4,5,5,5,5,5,5,5,5,2,NOT_APPLICABLE,4,3,4,,,1,1,,,,,,,,1,,5,1,,,,,,1,,,1,,,-1
R_2Sk8jW7tBzifhNm,Default Response Set,,2023-10-23 18:55:31,2023-10-23 18:58:18,,,,,1,0,1,,1,1,,,,,,,,1,6,4,4,4,4,4,3,3,3,3,2,5,2,1,1,,,1,,1,,,,,,,2,,3,1,,,1,,,,,,,,,-1
R_3Hovjp0jcHoIkeG,Default Response Set,,2023-10-23 19:42:20,2023-10-23 19:46:43,,,,,1,0,1,,1,,,,,,,,,1,1,3,3,4,4,3,3,4,4,3,2,1,2,1,3,,,1,,,,,,,,,2,,4,,,,1,,,,,,,,,-1
R_1ZjIL551Wr9v4SB,Default Response Set,,2023-10-23 20:30:20,2023-10-23 20:44:40,,,,,1,0,1,,1,,,,,,,,,3,7,4,4,5,5,5,4,4,4,5,2,3,2,1,8,,,1,,,,,,,,,2,,2,1,,,,,,,,,,,,-1
R_WxvpF2cEwly9wjL,Default Response Set,,2023-10-23 21:45:07,2023-10-23 21:49:48,,,,,1,0,1,,1,,,,,,,,,4,1,3,5,5,3,4,4,5,3,3,2,3,2,3,5,,,,,,,,,,,1,2,The pictures associated with the articles are amazing!,1,1,,,,,,,,,,,,-1
R_3RkAdgvbwdBixsO,Default Response Set,,2023-10-24 04:27:10,2023-10-24 04:29:31,,,,,1,0,1,,1,,,,,,,,,4,1,3,3,3,3,3,3,3,3,3,3,0,2,1,5,,,,,,,,,,,1,2,,4,,,,1,,,,,,,,,-1
R_1C2cGMQ0K74iwPK,Default Response Set,,2023-10-24 05:15:13,2023-10-24 05:18:39,,,,,1,0,1,,1,1,,,,,,,,1,6,5,5,5,5,5,3,3,3,3,2,4,2,1,7,more historical content,,,,,,,,,,1,2,,5,1,,,,,,,,,,,,-1
R_1JD4NhdnND914Ym,Default Response Set,,2023-10-24 07:47:13,2023-10-24 07:54:12,,,,,1,0,1,1,1,,,1,1,1,,,,3,2,4,3,4,4,4,5,5,5,5,3,8,3,3,1,,,1,,1,1,1,,1,1,,1,,3,1,,,,1,,1,,,1,,,-1
R_2YtxVj5Zf0hyC0t,Default Response Set,,2023-10-24 08:31:05,2023-10-24 08:33:35,,,,,1,0,1,1,1,,,,,,,,,3,6,4,4,4,4,4,5,5,5,5,2,5,2,3,5,,,,,,,,,,,1,1,,4,1,,,,,,,,,1,,,-1
R_1OwZRA76MbTxOYx,Default Response Set,,2023-10-24 08:32:47,2023-10-24 08:47:14,,,,,1,0,1,,,,,,,1,,,,4,1,4,4,5,4,4,4,5,4,4,3,0,4,2,4,,,,,,,,,,,1,1,,3,,,,1,,,,,,1,,,-1
R_2zGWr8ti0HQLvAf,Default Response Set,,2023-10-24 09:35:53,2023-10-24 09:42:00,,,,,1,0,1,,1,1,,,,,,,,1,1,5,4,5,5,5,3,3,3,3,3,NOT_APPLICABLE,2,1,1,,,1,,,1,1,,,,,2,"I answered ""neutral"" on questions about the printed magazine as I no longer receive it.  The printed magazine is very high quality.  But the on line version can be read anywhere, anytime.",5,1,,,,,,1,,,,,,-1
R_3CN7CodbBf55gXx,Default Response Set,,2023-10-24 10:19:58,2023-10-24 10:22:33,,,,,1,0,1,,1,1,,,,,,,,1,1,5,5,5,4,5,3,3,3,3,2,8,2,1,4,,1,,,,,,,,,,2,,5,1,,,,,,,,,,,,-1
R_3jYUkEUXMrhcXP8,Default Response Set,,2023-10-24 10:55:20,2023-10-24 10:57:36,,,,,1,0,1,,1,,,,,,,,,3,2,3,3,5,3,5,3,5,4,5,1,1,2,1,8,,,1,,,,,,,,,2,,3,,,,,1,,,,,,,,-1
R_1OiuKtTIB6i49U3,Default Response Set,,2023-10-24 12:56:25,2023-10-24 12:59:28,,,,,1,0,1,,,,,,,1,,,,2,6,3,3,4,3,3,5,5,4,4,2,2,3,2,5,,,1,,,,,,,,,1,,4,,,,1,,,,,,1,,,-1
R_1HoDCJBwFA1lodm,Default Response Set,,2023-10-24 18:05:49,2023-10-24 18:10:13,,,,,1,0,1,,1,,,,,,,,,4,1,3,3,3,3,3,3,3,3,3,2,1,2,3,4,,,,,,,,,,,1,2,,5,1,,,,,,1,,,,,,-1
R_4UU3eSpDiljRc5P,Default Response Set,,2023-10-24 20:48:49,2023-10-24 20:52:39,,,,,1,0,1,1,1,,,,,,,,,1,7,5,5,5,3,3,3,3,3,3,2,3,2,1,4,,,,,,,,,,,1,2,,5,,,,,,,,1,,,,,-1
R_w7qr6NYjz2HQAAF,Default Response Set,,2023-10-25 03:24:13,2023-10-25 03:29:21,,,,,1,0,1,1,1,,,1,,,,,,2,2,3,3,3,3,3,5,5,5,5,2,1,2,3,5,,1,1,1,,,,,,1,,1,,3,1,,,,,,,,,1,,,-1
R_3suhuMGspfSka8g,Default Response Set,,2023-10-25 04:56:39,2023-10-25 04:58:18,,,,,1,0,1,1,,1,,,,,,,,2,2,3,3,3,3,3,5,4,5,5,2,NOT_APPLICABLE,4,3,1,,,1,,,,1,,,,,1,,4,1,,,,,,,,,1,,,-1
R_POoetf8t7B7LDSV,Default Response Set,,2023-10-25 06:55:03,2023-10-25 06:57:25,,,,,1,0,1,,1,,1,,,,,,,1,1,5,5,4,3,3,1,1,1,1,3,6,2,1,1,,,1,,1,,1,,,,,2,No more printed issues of the magazine.,2,,,,1,1,,,,,,,,-1
R_BSzrosOhE1BFcNb,Default Response Set,,2023-10-25 07:52:28,2023-10-25 07:54:14,,,,,1,0,1,,1,,,,,,,,,1,1,3,3,4,4,4,3,3,3,3,3,3,1,3,4,,,,,1,,,,,,,2,,2,,1,,,,,,,,,,,-1
R_1IRGfINASR2slnW,Default Response Set,,2023-10-25 08:56:27,2023-10-25 09:00:14,,,,,1,0,1,1,1,1,,,1,1,,,,3,6,5,3,5,5,5,5,5,5,5,3,NOT_APPLICABLE,2,1,2,,1,1,1,,,1,,1,1,,1,,3,,,,,1,,,,,1,,,-1
R_4TQx4nAsxc3qVuV,Default Response Set,,2023-10-25 08:58:01,2023-10-25 09:00:40,,,,,1,0,1,,1,,,,1,1,,,,4,7,4,4,4,5,4,3,4,5,4,3,3,2,1,2,,,1,,1,,,,,,,2,,1,,1,,,,,,,,,,,-1
R_1BSjjbWFC1dSQs2,Default Response Set,,2023-10-25 09:35:36,2023-10-25 09:39:22,,,,,1,0,1,,1,,1,,1,1,,1,GV Now - daily email (I'm a staff member and alum),1,1,2,4,4,4,5,1,4,4,3,2,1,4,3,4,,,,,,,,,,,1,2,I haven't read much on the website since the email shifted to being only headers and links to the website. I personally liked it more when the email had some content so I could get a brief overview. I'm not going to click on each link so I can read two sentences about each item...,2,1,,,,1,,,,,,,,-1
R_1JVAmnDrtQeEHS3,Default Response Set,,2023-10-25 11:45:57,2023-10-25 11:53:25,,,,,1,0,1,1,1,1,1,,1,1,,,,3,6,4,4,4,5,5,5,5,5,5,3,NOT_APPLICABLE,2,1,8,,1,1,,,,1,,,,,1,,3,,,1,,,1,,,,1,,,-1
